publisher,books_count
Scholastic Inc.,7421.0
Scholastic,76870.0
Nimble Books,181.0
Gramercy Books,702.0
Del Rey,3941.0
Harmony Books,1207.0
Random House Audio,4205.0
Wings Books,497.0
Broadway Books,1783.0
William Morrow Paperbacks,817.0
Avon Books,9701.0
Perennial,6306.0
Ballantine Books,15574.0
Houghton Mifflin Company,19240.0
Houghton Mifflin Harcourt,24336.0
Houghton Mifflin,78672.0
Pragmatic Bookshelf,262.0
Aladdin Paperbacks,1262.0
Teacher Created Resources,2132.0
Delacorte Press,4917.0
Cherry Lane Music,1928.0
New Press,2520.0
Changeling Press LLC,134.0
Viking/Penguin Young Readers Group,1.0
Firebird,559.0
iUniverse,29902.0
Shambhala,2948.0
Ivy Books,1569.0
Amistad,497.0
HarperAudio,2255.0
Harper,81260.0
Financial Times Prentice Hall,2361.0
Archaia Studio Press,13.0
Farrar  Straus and Giroux,0.0
"Farrar, Straus and Giroux",5337.0
"Farrar, Straus, Giroux",664.0
Noonday Press,709.0
"Farrar, Straus & Giroux",12088.0
Dramatists Play Service,3956.0
Vintage,16264.0
Routledge,153168.0
North Light Books,1927.0
Chosen,1191.0
Association for Supervision and Curriculum Development,784.0
Kingfisher,6205.0
ASCD,490.0
Sovereign Publishing,11.0
Workman Pub.,1120.0
One Hour Entertainment,3.0
Ace Books,5685.0
Tor Books,4370.0
Putnam,33585.0
Tor,9373.0
Houghton Mifflin Co.,3756.0
Thomas Nelson,14797.0
John Wiley & Sons,56942.0
Heinemann,59338.0
Perennial Currents,66.0
Wiley,266989.0
McGraw-Hill,118433.0
Wiley Pub.,1846.0
Visual,1714.0
O'Reilly,7484.0
Citadel,3645.0
Citadel Press,2034.0
Penguin Classics,2054.0
Signet Classic,1159.0
Penguin Books,57075.0
Cliff's Notes,312.0
Barnes & Noble Classics,18282.0
Dover Publications,28589.0
Mira,4902.0
Cambridge University Press,116900.0
Vintage Books,6578.0
Buccaneer Books,1599.0
Scribner,39784.0
Clarity Press,201.0
Rowman & Littlefield Publishers,43858.0
Pearson A and B,40.0
Teacher Created Materials,6567.0
Harper Perennial,3929.0
EMC/Paradigm,434.0
Scholastic Professional Books,519.0
Turtleback Books,14199.0
Little  Brown Book Group,0.0
William Morrow,8506.0
Atria,4650.0
Vintage Crime/Black Lizard,168.0
Picador,6331.0
Sterling Pub. Co.,4848.0
Puffin,13444.0
New Directions Publishing Corporation,804.0
Grove Press,5690.0
Grove Weidenfeld,250.0
Lumen Edtions,1.0
The New Press,321.0
Pantheon,6317.0
Oneworld,2492.0
Interlink Publishing Group,746.0
Knopf,31552.0
Sterling,22040.0
Pocket,33529.0
Atheneum Books for Young Readers,1551.0
Gramercy books,702.0
ABDO Pub.,2712.0
Black Classic Press,190.0
French & European Pubns,21063.0
Random House Books for Young Readers,6843.0
Zebra,8118.0
Greenwillow Books,2283.0
Booket,6224.0
Ace,8908.0
Pocket Books,15299.0
Tandem Library,43364.0
Samuel French  Inc.,0.0
Princeton University Press,24370.0
W. W. Norton & Company,6337.0
Simon & Schuster,78117.0
HMH Books for Young Readers,730.0
The Penguin Press,296.0
Harper Perennial Modern Classics,169.0
Back Bay Books,1014.0
A. A. Knopf,2291.0
Farrar Straus Giroux,1393.0
Vintage International,340.0
Random House Publishing Group,9009.0
Everyman's Library,822.0
Sun & Moon Press,2693.0
Sky Books (NY),19.0
Henry Holt,7388.0
New Directions,3549.0
Actes Sud,7864.0
Penguin Books Ltd. (London),0.0
Warner Business,78.0
W. W. Norton  Company,0.0
"Filiquarian Publishing, LLC.",63.0
Carol Pub.,1157.0
Lerner Publications Co.,1791.0
Adventures Unlimited Press,315.0
Harlequin Blaze,59.0
Cliffs Notes,951.0
Listening Library (Audio),886.0
Random House Trade Paperbacks,1321.0
Harper & Row,51727.0
Large Print Press,799.0
Peachpit Press,1968.0
Taschen,8735.0
Bantam,31522.0
HarperTorch,972.0
Walker & Company,12628.0
W. Morrow,3291.0
Haynes Manuals N. America  Inc.,0.0
Rockport Publishers,1298.0
Signet Classics,842.0
Oxford University Press,188751.0
Plume,4990.0
Signet Book,1538.0
Dutton,29347.0
Signet,16534.0
NAL,888.0
"Wiley Pub., Inc.",132.0
Lyon's Press,85.0
Alliance Publishing,195.0
Alfred A. Knopf,5939.0
Bedford/St. Martin's,8620.0
Harper Collins Pub.,14.0
Plaza y Janes,556.0
Vintage Espanol,214.0
Vintage Books USA,338.0
Wisdom Publications,1324.0
Rough Guides,2186.0
Lonely Planet Publications,3435.0
Geo-Planeta,15.0
Mariner Books,1374.0
Avon,16260.0
Payot,6623.0
Spectra,991.0
Bantam Books,17775.0
Two Plus Two Publishing LLC,18.0
Basic Books,6590.0
Ignatius Press,2133.0
HarperOne,1634.0
HarperCollins,135761.0
Viz Media,7421.0
VIZ Media LLC,3300.0
Viz,7928.0
HarperCollins Publishers,95655.0
Wildside Press,11979.0
It Books,247.0
Random House Large Print,1762.0
Newmarket Press,502.0
Oni Press,1357.0
Moody Publishers,3361.0
Umbriel,235.0
FonoLibro Inc,59.0
Anchor,6634.0
Corgi Books,1256.0
Bantam Press,1390.0
Pinnacle Books,3050.0
Jeremy P. Tarcher/Penguin,345.0
High Roads Media,22.0
Firebrand Books,149.0
Berkley Books,3791.0
Recorded Books,5167.0
Three Rivers Press,2734.0
Simon  Schuster,0.0
University of Chicago Press,29756.0
Zondervan,26209.0
Random House,125453.0
Delta,4284.0
HarperCollinsPublishers,1603.0
Rodale,5986.0
High Point Media,6.0
Broadman & Holman,4674.0
Red Dress Ink,188.0
Walker and Co.,466.0
Ryland Peters & Small,3020.0
Clarkson Potter,1798.0
Clarkson Potter/Publishers,238.0
Clarkson Potter Publishers,62.0
Ediciones B,8456.0
G.P. Putnam,9641.0
Harcourt,55246.0
Gallimard,39415.0
Anchor Books,2815.0
Lulu Press,246642.0
Jossey-Bass,9775.0
Business Plus,222.0
Pearson/Prentice Hall,1520.0
Little  Brown,0.0
Harper Paperbacks,1852.0
Parker Pub. Co.,1351.0
Crown Publishers,6883.0
Penguin (Business),0.0
Tor Fantasy,578.0
Doubleday,49517.0
Warner Books,9458.0
Continuum,10638.0
Stackpole Books,4019.0
Prometheus Books,3108.0
St. Augustine's Press,316.0
Hackett Pub. Co.,427.0
Cornell University Press,10885.0
Hackett Publishing Company,741.0
Penguin,157539.0
Norton,34660.0
Everyman's Library 234,0.0
Univ of Chicago Pr (Tx),604.0
Hackett Pub.,558.0
Bolchazy-Carducci,584.0
Harvard University Press,24336.0
Atelos Press,0.0
Harvard Common Press,709.0
Viking,25619.0
Gramercy,2920.0
Applause Books,470.0
HarperSanFrancisco,1529.0
HarperPerennial,1768.0
IDG Books Worldwide,1386.0
Nonpareil Books,13.0
Hackett,1677.0
W.W. Norton & Co.,2777.0
Bryn Mawr Commentaries,114.0
New York Review Books,554.0
University Of Chicago Press,29756.0
Methuen,30318.0
Loeb Classical Library,325.0
Duckworth,7039.0
Bristol Classical Press,642.0
Oxford University Press  USA,0.0
Hackett Publishing Company  Inc.,0.0
"Farrar, Straus, and Giroux",574.0
University of Pennsylvania Press,7335.0
Kessinger Publishing,92642.0
"Prestwick House, Inc.",118.0
Signet Books (NY),0.0
Bantam Classics,225.0
Focus Pub./R. Pullins,40.0
Loeb Classical Library/Harvard University Press,0.0
"Harcourt, Brace & Co.",7830.0
Little Brown and Company,1211.0
Washington Square Press,2147.0
Berrett-Koehler Publishers,2149.0
Anagrama,5385.0
Granta UK,47.0
Editorial Anagrama,2655.0
Longman,79262.0
Seix Barral,4167.0
New City Press,646.0
Modern Library,3981.0
University of California Press,24006.0
Macmillan,226957.0
Ecco Press,750.0
Santillana USA Publishing Company,813.0
Houghton Mifflin Harcourt Trade & Reference Publishers,3310.0
University of Oklahoma Press,6422.0
Wayne State University Press,2774.0
Prentice Hall,59249.0
Jeremy P. Tacher/Penguin,2.0
Broadway,4530.0
W.W. Norton,6927.0
North Point Press,560.0
Warner Books (NY),4.0
Berkley Pub.,1257.0
Libraries Unlimited,2487.0
Owl Books (Henry Holt),0.0
Pantheon Books,4387.0
Penguin Books Ltd,6479.0
Sterling Publications,114.0
Villard,1524.0
Anchor Books/Doubleday,71.0
Planeta,31507.0
Mountaineers Books,1308.0
Sterling Pub.,6484.0
Library of America,735.0
Collector's Library,275.0
Spark Publishing,184.0
Egmont Books Ltd,2087.0
Touchstone,3041.0
Lerner Publications,4389.0
Arthur A. Levine,347.0
Bloomsbury Publishing,54232.0
Methuen Drama,1506.0
Digireads.com,2295.0
OUP Oxford,749.0
Penguin Group,6551.0
BBC Audiobooks,1941.0
The MIT Press,5872.0
Copernicus,370.0
MIT Press,18912.0
Running Press Book Publishers,1704.0
BasicBooks,372.0
Batsford,10237.0
"Little, Brown",59409.0
New American Library,9451.0
Grand Central Life & Style,100.0
"Little, Brown and Co.",1686.0
G.P. Putnam's Sons,8026.0
Jones Books,145.0
Simon & Schuster Audio,78117.0
Simon & Schuster Paperbacks,78117.0
Amadeus,614.0
Scribner Classics,32.0
Shepard Publications,35.0
Free Press,8302.0
HJ Kramer,53.0
H.J. Kramer Inc.,8.0
Da Capo Press,5319.0
Fawcett,10386.0
RH Audio,665.0
Grand Central Publishing,9581.0
Rutgers University Press,6100.0
Dover,32915.0
Atheneum,8968.0
Dell Yearling,257.0
Phoenix Audio,244.0
Penguin Books Australia Ltd.,50.0
Clarendon Press,23993.0
Simon and Schuster,10453.0
Peter Smith Publisher,759.0
Marshall Cavendish,6529.0
"Suma de letras, Punto de Lectura",24.0
Naxos Audiobooks,606.0
Candlewick Press,6145.0
Penguin Audio,1265.0
Inner City Books,159.0
University of Illinois Press,7449.0
University Press of Kansas,2405.0
Jove Books,2655.0
Jove,7650.0
Vacation Work Publications,86.0
Hampton Roads Publishing Company,723.0
Scholastic Paperbacks,3628.0
Orion Publishing,41046.0
Crossroad Pub. Co.,251.0
Harcourt Brace,11675.0
Harcourt Brace & Co.,9594.0
Harvill Pr,162.0
Punto de Lectura,1161.0
Alfaguara,8234.0
Castle,2625.0
Laurier Books Ltd. /AES,231.0
Alfred A.Knopf,64.0
Knopf Publishing Group,103.0
Schirmer/Mosel,744.0
Teachers College Press,3442.0
Hyperion,13791.0
HarperBusiness Essentials,11.0
Westminster John Knox Press,2633.0
Caedmon,1205.0
Prima Pub.,1218.0
North Atlantic Books,1721.0
Barrons Educational Series,1198.0
Aladdin,6242.0
Schocken Books,2614.0
Yale University Press,23539.0
AK Peters,170.0
Bloomsbury Publishing PLC,50366.0
Health Communications,2056.0
Henry Holt & Company,5510.0
Free Press Paperbacks,19.0
Thames & Hudson,15339.0
Duke University Press,9212.0
Berkley Trade,1373.0
Cornerstone Press Chicago,91.0
Dell,19484.0
H. Shaw Publishers,198.0
Simon and Schuster Books for Young Readers,224.0
Harold Shaw Publishers,158.0
Roxford Books,8.0
Tantor Media,1065.0
HarperTeen,1468.0
Teaching Resources,1970.0
Clarion Books,2036.0
Dutton Children's Books,1429.0
Arcade Publishing,492.0
TSR,1257.0
List,3061.0
National Gallery London,133.0
集英社,51.0
Shueisha,2193.0
harlequin,140465.0
Diogenes,4072.0
Bloomsbury,70623.0
Glénat,1827.0
Bantam Doubleday Dell Books for Young Readers,221.0
Wendy Lamb Books,220.0
Ann Arbor Media,105.0
Council Press,80.0
W. W. Norton,8852.0
RiverOak Pub.,22.0
Children's Classics,168.0
D.R. Godine,382.0
Basic Books (AZ),21.0
Encounter Books,825.0
Walker Books Ltd,3201.0
Alcoholics Anonymous World Services,321.0
AA World Services,2.0
Overeaters Anonymous,35.0
University Press of Mississippi,3557.0
Insel  Frankfurt,0.0
Penguin Press,1271.0
Scholastic Books,250.0
The Harvill Press,282.0
Hodder,87903.0
Livre de Poche,5730.0
Hodder Wayland,4943.0
Loeb Classical Library 307,0.0
St. Martin's Griffin,6167.0
Association for Supervision & Curriculum Development,1977.0
Icon,91776.0
Dial Press Trade Paperback,151.0
McGraw Hill,8771.0
HarperCollins Espanol,71.0
HarperTrophy,2515.0
Faber and Faber,12254.0
Suhrkamp,13609.0
Hodder Children's Books,4871.0
G.P. Putnam's Sons Books for Young Readers,202.0
New Riders Pub.,362.0
ReganBooks,254.0
Cooper Square Press,362.0
Morrow,18174.0
Red Fox,2871.0
Doubleday Canada,1470.0
Broadway/Crown Publishing Group,0.0
Vision,5561.0
Roca Editorial,952.0
Grand Central Pub.,491.0
St. Martin's Press,46125.0
Pocket Star Books,656.0
Yearling Books,255.0
Random House Children's Books,9994.0
Yearling,3044.0
Bethany House,5546.0
Melville House Publishing,366.0
Harlequin Superromance,156.0
Merlin Pub.,66.0
International Publishers,2879.0
Blackstone Audiobooks,5625.0
Seal Books,575.0
Starfire,333.0
Highbridge Audio,2357.0
Atlantic Monthly Press,1472.0
Grosset & Dunlap,14998.0
Bramhall House,264.0
For Dummies,2423.0
Multnomah Publishers,597.0
Ember,517.0
Fawcett Columbine,710.0
Granta Books,1257.0
MacMillan,226957.0
Penguin Random House,39443.0
David R. Godine Publisher,190.0
Heinemann-Octopus,0.0
Penguin Poets,36.0
Enitharmon Press,454.0
Orion Children's Books (an Imprint of The Orion Publishing Group Ltd ),317.0
Macmillan Children's Books,3027.0
Pan Books,7070.0
Pan,26723.0
Fourth Estate Paperbacks,2.0
Tyndale House Publishers,9026.0
InterVarsity Press,5440.0
Love Spell,726.0
Dark Horse Books,1140.0
Gardners Books,1397.0
Scribner Paperback Fiction,206.0
Ecco,38120.0
Harcourt Brace Jovanovich,6325.0
Severn House Publishers,5674.0
Kensington Books,1148.0
Ellora's Cave,2352.0
Counterpoint,2280.0
Polyface,15.0
Regnery Publishing,1400.0
"Walker Publishing Company Inc., a division of Bloomsbury USA",1.0
C. Potter,280.0
National Geographic,10450.0
Chatto & Windus,12306.0
Viking Adult,2220.0
Headline Book Publishing,3374.0
Marvel Comics,3348.0
Heyne,8425.0
Robert Laffont,3586.0
Harper Voyager,537.0
"Little, Brown and Company",4485.0
Eos,1926.0
Minotaur Books,1806.0
Bantam Spectra,75.0
HarperCollins Pub.,108.0
Picador USA,690.0
Dark Horse,5661.0
Thorsons,2966.0
Simon Pulse,3001.0
Summit University Press,237.0
Beacon Press,5140.0
Beacon Press (Boston),1.0
Addison-Wesley,16879.0
Allen Lane,2296.0
Plexus Publishing Ltd,53.0
Simon & Schuster Childrens Books,78117.0
HarperBusiness,603.0
Arrow,8483.0
DeVorss & Company,848.0
Atria Books,3294.0
Ronin Publishing (CA),19.0
Bloomsbury UK,855.0
Beliver Books,1.0
"McSweeney's, Believer Books",6.0
Riverhead Books,1247.0
Phoenix,9159.0
Arcadia,31138.0
Distribooks,1159.0
American University in Cairo Press,1807.0
Speak,1192.0
Chaosium,322.0
HarperCollins Publishers Ltd,4265.0
Alison Green Books,65.0
Penguin Books (NY),0.0
Perennial Classics,65.0
PerfectBound (HarperCollins),0.0
Trafford Publishing,11815.0
Atlantic,14424.0
Atlantic Books,4397.0
Geddes & Grosset,622.0
Metropolitan Books,448.0
Picador  Macmillan Publishers Ltd,0.0
Edebé,2502.0
Aha! Process,91.0
Rayo,712.0
Manning Publications,1245.0
Cold Spring Harbor Laboratory Press,645.0
Rivages,2108.0
Kiepenheuer & Witsch,3802.0
Algonquin Books of Chapel Hill,1300.0
Vintage Classics,232.0
"Pineapple Press, Inc.",252.0
Transworld Publishers Limited,3923.0
Ballantine,17425.0
University of South Carolina Press,2845.0
Borealis Books,77.0
The Audio Partners,432.0
Warner,15867.0
Tougher Disguises Pr,5.0
HarperCollins UK,1805.0
Pelican Publishing Company,1286.0
Douglas & McIntyre,2482.0
Running Press,6526.0
Time-Life Books,3977.0
Del Rey Books,438.0
Children's Press (CT),3214.0
"Collection of Historical Scientific Instruments, Harvard University",2.0
Harper Perennial (NYC),0.0
Silhouette Desire,311.0
Johnson Publishing Company (IL),1.0
Viking Children's Books,696.0
Microsoft Press,3403.0
Galahad,880.0
Vermilion,1190.0
Harvard Business School Press,997.0
Green Integer,339.0
Hovel Audio,179.0
Barnes & Noble,18282.0
Ten Speed Press,2050.0
Philomel Books,1204.0
Child's Play (International) Ltd.,16.0
McSweeney's,583.0
Paulist Press,5700.0
Dial Press,4086.0
Chelsea House Publications,3514.0
Dial Press Trade Paperbacks,29.0
Chalice Press,770.0
Belknap Press,2321.0
Wizards of the Coast,2217.0
MacMillan General Books,18.0
Random House Trade,2313.0
Grupo Editorial Norma,2474.0
Macmillan Audio Books,267.0
Anchor Canada,492.0
Heinemann Library,7660.0
Barron's,8833.0
HarperPerennial / Perennial Classics,0.0
Park Street Press,186.0
Dalkey Archive Press,1357.0
I.R. Dee,198.0
Delta Publishing,194.0
Berkley,18496.0
Washington Square,2240.0
Plume (Penguin Books Ltd),0.0
Cartwheel,1328.0
Plume Books,105.0
De Boekerij,453.0
Regan Books,261.0
Multnomah,2777.0
Gemstone Publishing,240.0
Gemstone Pub.,44.0
Moody,7359.0
Golden Books,8974.0
Prestwick House Literary Touchstone Press,2.0
Courage Books/Running Press,6.0
Island,19227.0
Delta Trade Paperbacks,198.0
Pearson Education Ltd.,235.0
Bantam Dell,472.0
"Scholastic, Inc.",2427.0
Puffin Books,6086.0
Time Warner Paperbacks,1008.0
Firelight Press,8.0
Baen Books,1386.0
"Lothrop, Lee & Shepard Books",3100.0
Meridian,2654.0
Bastei Lübbe,781.0
Hodder & Stoughton Ltd,85386.0
Delacorte Books for Young Readers,774.0
1st World Library,2416.0
Penguin Press HC  The,0.0
University of Georgia Press,4478.0
Rodale Books,1324.0
"Pearson Education, Limited",58146.0
W.W. Norton & Company,2777.0
French & European Publications,21063.0
Warner Vision Books,94.0
"Published for the Institute of Early American History and Culture at Williamsburg, Va., by the University of North Carolina Press",53.0
W.W.Norton & Co.,30.0
Hermagoras Press,35.0
"Norton & Company, Incorporated, W. W.",21054.0
Jane Nissen Books,50.0
A.A. Knopf,3117.0
Everyman Paperback Classics,137.0
Orbis Books,2669.0
Flamingo,2496.0
University of Washington Press,5694.0
HarperPaperbacks,753.0
St. Martin's Minotaur,1449.0
Emece Editores,1082.0
DC Comics,6037.0
Contemporary French Fiction,993.0
Pocket Star,1394.0
Penguin Books  Limited (UK),0.0
Titan Books,4788.0
Abraham Guillen Press/Arm the Spirit,15.0
Apress,6091.0
Palgrave Macmillan,86333.0
DAW Hardcover,74.0
Black Swan,1096.0
Disney Press,3584.0
Broadview Press,1447.0
Not Avail,17967.0
Hougton Mifflin,53.0
City Lights Books,844.0
Miramax Books,229.0
Vintage Intenational,1.0
Peter Owen Ltd,176.0
MAXIMA New Media,3.0
St. Martin's Paperbacks,3278.0
Little  Brown Books for Young Readers,0.0
Margaret K. McElderry Books,766.0
Huang guan wen hua chu ban you xian gong si,485.0
皇冠文化出版有限公司,4.0
Oberlin College Press,82.0
North Star Publications (MA),12.0
Simon Publications,212.0
Piatkus Books,2306.0
Penguin Global,606.0
Le Livre de Poche,2646.0
Crossroad General Interest,92.0
Barbour Books,536.0
Harvest House Publishers,4612.0
Vision Forum,212.0
J.P. Tarcher/Putnam,68.0
Penguin Group(CA),17.0
Abacus,2200.0
Steerforth,721.0
Steerforth Press,615.0
Fawcett Books,553.0
Avalon Travel Publishing,1151.0
Harper Trophy,184.0
City Lights,1028.0
America's Test Kitchen,233.0
Viking Juvenile,1228.0
Vintage Canada,938.0
Books on Tape,7370.0
Paul Dry Books,125.0
Avon Trade,69.0
Doubleday Publishing (NY),0.0
Hay House,5032.0
Chronicle Books,13980.0
"Regnery Publishing, Inc.",200.0
Applewood Books,7880.0
Providence Forum Press,2.0
Faber & Faber,27640.0
G. P. Putnam's Sons,5613.0
Putman Publishing Froup,1.0
Smithmark,3658.0
MTV,285.0
Steidl,2440.0
Fawcett Crest,1278.0
Dell Pub. Co.,1580.0
Hachette Books,3894.0
Gibbs Smith,3339.0
Fount,504.0
Whitaker House,2296.0
Pelican Pub. Co.,927.0
Penguin (Non-Classics),5436.0
New World Library,1329.0
Cemetery Dance Pubns,124.0
Little  Brown and Company,0.0
American Diabetes Association,621.0
Sceptre,1476.0
Nelson Thornes Ltd,5941.0
Fodor's,6002.0
Harlequin Anthologies,3.0
DEBOLSILLO,8079.0
Limitless Corporation,29.0
Poisoned Pen Press,1739.0
University of Michigan Press,8617.0
Roaring Brook Press,1762.0
Ten Speed,2969.0
Rebound by Sagebrush,3672.0
Berkley Sensation,591.0
Schocken,3688.0
Ave Maria Press,1543.0
Corgi Adult,314.0
Fourth Estate,1861.0
SparkNotes,406.0
Recorded Books  Inc.,0.0
Kodansha International,1950.0
Nymphenburger,1163.0
Paul S. Eriksson,58.0
Phoenix Press,1928.0
H. Holt,7644.0
Norton and Co.,63.0
Sage Publications  Inc,0.0
T. Nelson,6578.0
Darton  Longman & Todd,0.0
Multnomah Fiction,55.0
Sleeping Bear Press,1194.0
Sinauer Associates,541.0
Island Press,16777.0
Wiley-Blackwell,6529.0
Rufus Publications,4.0
Harper San Francisco,319.0
Booksales,104.0
Mythopoeic Press,21.0
HiddenSpring,58.0
Del Rey/Ballantine Books,227.0
Recorded Books Unabridged,25.0
Lantern Books,418.0
Wiley (TP),0.0
Marvel,11326.0
Silhouette,17288.0
Mills & Boon,63145.0
Prometheus,5233.0
Quality Paperback Book Club,327.0
Simon Spotlight Entertainment,577.0
Melcher Media,96.0
"Wilhelm Goldmann Verlag, GmbH",9.0
Lucent Books,2651.0
Lübbe,4364.0
Public Square Books,384.0
ACME Novelty Library,2.0
Drawn and Quarterly,270.0
Jonathan Cape,4637.0
"Oldcastle Books, Limited",808.0
Conari Press,556.0
Warner Adult,67.0
Everyman,2761.0
Scholastic Press,1775.0
Penguin Classic,2276.0
Wings,3757.0
Harpperen,9.0
Debolsillo,8079.0
Perennial Library,843.0
Modern Library/Random House (NY),0.0
Crown,16750.0
Barnes  Noble Classics,0.0
Columbia University Press,21547.0
Usborne Books,2328.0
Hodder Audio,21.0
New York: Random House,29.0
London : Collins  2004.,0.0
HarperCollinsChildren’sBooks,132.0
Lectorum Publications,1304.0
Bloomsbury Paperbacks,95.0
New York Review of Books,791.0
Nova Fronteira,1233.0
Andrews McMeel Publishing,10620.0
Penguin Books/Penguin Popular Classics,0.0
Northwestern University Press,3239.0
Verso,4104.0
Haymarket Books,1353.0
Orion,47262.0
Minnesota Heritage Publishing,15.0
Minnesota Historical Society Press,718.0
T. Y. Crowell,1102.0
Taylor Productions Ltd,7.0
Orb,580.0
Forge,4679.0
Forge Books,1430.0
F & W Publications Inc.,6711.0
Audio Renaissance,656.0
Price Stern Sloan,4043.0
Hachette,55293.0
Doubleday & Co.,11741.0
Scholastic Book Services,2533.0
Live Oak Media,970.0
Laurel-Leaf Books,110.0
"Bruce & Bruce, Inc.",3589.0
Tommy Nelson,575.0
HarperCollins Children's Books,1088.0
Harmony,3491.0
HarperFestival,1524.0
Winter on the Farm (My First Little House),0.0
Bantam Doubleday Dell Pub. Group,20.0
